text,video_url,created_at,fecha,likes,respuestas,_origen,fuente,text_clean,emojis
"Ahora ya es muy difícil donar sangre, si te dio covid no puedes, si tienes muelas picadas no puedes 🥺🥺 yo eh querido donar y no puedo y soy O Negativo",https://www.tiktok.com/@nachter/video/7357337111676079392,2024-04-13 14:50:06+00:00,2024-04-13,51,24,dataset_tiktok-comments-scraper_2026-02-16_12-29-41-619.csv,tiktok,"Ahora ya es muy difícil donar sangre, si te dio covid no puedes, si tienes muelas picadas no puedes yo eh querido donar y no puedo y soy O Negativo",🥺🥺
Con el tema de tatuajes se puede donar sangre?,https://www.tiktok.com/@nachter/video/7357337111676079392,2024-04-13 13:18:22+00:00,2024-04-13,13,6,dataset_tiktok-comments-scraper_2026-02-16_12-29-41-619.csv,tiktok,Con el tema de tatuajes se puede donar sangre?,
"Aquí en Venezuela, tuve una época tan mala, sin clientes ni dinero, que donaba solo por sentir la satisfacción de hacer algo útil aunque sea a desconocidos. Aún estamos muchos en crisis. Bendiciones",https://www.tiktok.com/@nachter/video/7357337111676079392,2024-04-14 12:31:02+00:00,2024-04-14,16,0,dataset_tiktok-comments-scraper_2026-02-16_12-29-41-619.csv,tiktok,"Aquí en Venezuela, tuve una época tan mala, sin clientes ni dinero, que donaba solo por sentir la satisfacción de hacer algo útil aunque sea a desconocidos. Aún estamos muchos en crisis. Bendiciones",
"si pagarán por donar allí estaría cada 4 días, mi cuerpo produce sangre como si no hubiera un mañana",https://www.tiktok.com/@nachter/video/7357337111676079392,2024-04-13 21:39:27+00:00,2024-04-13,5,6,dataset_tiktok-comments-scraper_2026-02-16_12-29-41-619.csv,tiktok,"si pagarán por donar allí estaría cada 4 días, mi cuerpo produce sangre como si no hubiera un mañana",
Gracias a todos los donantes de sangre. Yo estoy viva gracias a varias trasfusiones,https://www.tiktok.com/@nachter/video/7357337111676079392,2024-04-15 05:02:35+00:00,2024-04-15,14,0,dataset_tiktok-comments-scraper_2026-02-16_12-29-41-619.csv,tiktok,Gracias a todos los donantes de sangre. Yo estoy viva gracias a varias trasfusiones,
"Nacho,eres maravilloso!!, así es,la sangre no se puede fabricar y tenemos que ayudarnos.Es muy muy necesario ser donantes y con este video,seguro que has animado a mucha gente a donar.Eres de lo mejor",https://www.tiktok.com/@nachter/video/7357337111676079392,2024-04-13 14:12:14+00:00,2024-04-13,23,0,dataset_tiktok-comments-scraper_2026-02-16_12-29-41-619.csv,tiktok,"Nacho,eres maravilloso!!, así es,la sangre no se puede fabricar y tenemos que ayudarnos.Es muy muy necesario ser donantes y con este video,seguro que has animado a mucha gente a donar.Eres de lo mejor",
Soy menor pero cuando sea mayor d edad donaré,https://www.tiktok.com/@nachter/video/7357337111676079392,2024-05-10 14:23:14+00:00,2024-05-10,2,0,dataset_tiktok-comments-scraper_2026-02-16_12-29-41-619.csv,tiktok,Soy menor pero cuando sea mayor d edad donaré,
"no tengo el peso suficiente para donar, me dió hepatitis y según entiendo no puedo, además la agujas me dan ansiedad🥺",https://www.tiktok.com/@nachter/video/7357337111676079392,2024-04-15 03:05:39+00:00,2024-04-15,3,0,dataset_tiktok-comments-scraper_2026-02-16_12-29-41-619.csv,tiktok,"no tengo el peso suficiente para donar, me dió hepatitis y según entiendo no puedo, además la agujas me dan ansiedad",🥺
apartir de que edad se puede donar sangre?,https://www.tiktok.com/@nachter/video/7357337111676079392,2024-04-13 21:51:05+00:00,2024-04-13,11,4,dataset_tiktok-comments-scraper_2026-02-16_12-29-41-619.csv,tiktok,apartir de que edad se puede donar sangre?,
mi sangre es rara yo soy a+ XD siempre que me inyectan o me piden comprobante de sangre siempre me dicen si quiero donar XD,https://www.tiktok.com/@nachter/video/7357337111676079392,2024-04-13 20:32:56+00:00,2024-04-13,1,4,dataset_tiktok-comments-scraper_2026-02-16_12-29-41-619.csv,tiktok,mi sangre es rara yo soy a+ XD siempre que me inyectan o me piden comprobante de sangre siempre me dicen si quiero donar XD,
Los del 2010 no pueden porque son menores xd pero buen video,https://www.tiktok.com/@nachter/video/7357337111676079392,2024-04-15 16:36:09+00:00,2024-04-15,0,0,dataset_tiktok-comments-scraper_2026-02-16_12-29-41-619.csv,tiktok,Los del 2010 no pueden porque son menores xd pero buen video,
"nunca he donado, soy sangre universal. pienso que si boy al banco a donar.. y el banco la vende aquíen la necesita... pues así si no....",https://www.tiktok.com/@nachter/video/7357337111676079392,2024-04-15 03:08:48+00:00,2024-04-15,0,4,dataset_tiktok-comments-scraper_2026-02-16_12-29-41-619.csv,tiktok,"nunca he donado, soy sangre universal. pienso que si boy al banco a donar.. y el banco la vende aquíen la necesita... pues así si no....",
"las dos veces que tengo que donar no he podido, la primera tenía gripe (en mi país no se puedo donar si se tiene algo por el estilo) y la segunda me acababan de diagnosticar hipotensión y aún no se...",https://www.tiktok.com/@nachter/video/7357337111676079392,2024-04-14 16:33:15+00:00,2024-04-14,0,1,dataset_tiktok-comments-scraper_2026-02-16_12-29-41-619.csv,tiktok,"las dos veces que tengo que donar no he podido, la primera tenía gripe (en mi país no se puedo donar si se tiene algo por el estilo) y la segunda me acababan de diagnosticar hipotensión y aún no se...",
yo por dragón ball me da miedo las agujas,https://www.tiktok.com/@nachter/video/7357337111676079392,2024-04-14 04:16:38+00:00,2024-04-14,1,2,dataset_tiktok-comments-scraper_2026-02-16_12-29-41-619.csv,tiktok,yo por dragón ball me da miedo las agujas,
A mi lo que me daría cosa serían incluso más que las agujas el ver como me sacan la sangre,https://www.tiktok.com/@nachter/video/7357337111676079392,2024-04-16 05:04:09+00:00,2024-04-16,1,0,dataset_tiktok-comments-scraper_2026-02-16_12-29-41-619.csv,tiktok,A mi lo que me daría cosa serían incluso más que las agujas el ver como me sacan la sangre,
